,type,numNodes,numEdges,sampnodes,sampedges,Samplingrate,ActualDensity,SampledDensity,ActualCommunitysize,SampledCommunitysize,actualmodularity,sampledmodularity,Lcommsize_act1,Lcommsize_samp1,Lcommsize_act2,Lcommsize_samp2,Lcommsize_act3,Lcommsize_samp3,Clustcoeff_act,Clustcoeff_samp,diameter_act,diameter_samp,ks_deg,pval_deg,ks_cc,pval_cc,ks_pg,pval_pg
108,RE,2000,299850,2000,179910,0.6,448.6158273,269.2722063,12,22,0.247529805,0.24627313,502,503,501,503,500,499,0.374924956,0.282192402,4,4,0.1845,0,0.295914457,0,0.007,1
109,RE,2000,299850,1999,179910,0.6,448.6158273,269.293617,12,23,0.247529805,0.248143896,502,505,501,502,500,500,0.374924956,0.281342869,4,4,0.184338419,0,0.294344845,0,0.008869685,0.999998623
110,RE,2000,299850,2000,179910,0.6,448.6158273,269.314367,12,26,0.247529805,0.247378856,502,502,501,502,500,499,0.374924956,0.281740395,4,4,0.1865,0,0.299294383,0,0.01,0.999965231
111,RE,2000,299850,2000,179910,0.6,448.6158273,269.6492754,12,25,0.247529805,0.246446744,502,505,501,503,500,496,0.374924956,0.283152486,4,4,0.1875,0,0.297662325,0,0.009,0.999997861
112,RE,2000,299850,2000,179910,0.6,448.6158273,269.6420455,12,24,0.247529805,0.247944027,502,507,501,503,500,499,0.374924956,0.282048035,4,4,0.186,0,0.293677767,0,0.008,0.999999958
113,RE,2000,299850,2000,179910,0.6,448.6158273,269.5334282,12,24,0.247529805,0.245499119,502,502,501,500,500,500,0.374924956,0.282997602,4,4,0.1875,0,0.290251752,0,0.0085,0.999999642
114,RE,2000,299850,2000,179910,0.6,448.6158273,269.5618777,12,24,0.247529805,0.247307718,502,504,501,504,500,500,0.374924956,0.282066922,4,4,0.185,0,0.293708626,0,0.0085,0.999999642
115,RE,2000,299850,1999,179910,0.6,448.6158273,268.9398281,12,24,0.247529805,0.247264221,502,502,501,502,500,502,0.374924956,0.281761292,4,4,0.185363182,0,0.290255255,0,0.009116558,0.999996902
116,RE,2000,299850,1999,179910,0.6,448.6158273,269.8270893,12,23,0.247529805,0.247564152,502,503,501,503,500,501,0.374924956,0.282891124,4,4,0.185868184,0,0.282113921,0,0.00877989,0.999998992
117,RE,2000,299850,1999,179910,0.6,448.6158273,269.3400287,12,18,0.247529805,0.248097137,502,500,501,500,500,498,0.374924956,0.282437384,4,4,0.189365183,0,0.292246119,0,0.010821661,0.999805667
